user_id,time_to_first_click_sec,hover_time_sec,hover_count,mean_mouse_speed_px_s,slow_movement_ratio,reopen_count,sender_checked,time_to_report_sec,clicked_link,_profile_score_debug_only
user_00000,27.29106845214971,,6.0,262.9439523511701,,1.0,1.0,53.373751634911414,0,0.15245260326252916
user_00001,,4.810172971492427,2.0,408.7205378251426,0.3067149194240734,2.0,0.0,56.1263722001344,0,0.31251878534933103
user_00002,,2.6870549266008723,2.0,490.6962521325414,0.4147037417698262,1.0,1.0,47.92625601003352,0,0.4136409708240333
user_00003,45.589338097701706,1.372834804456081,2.0,,0.482875766648893,0.0,0.0,70.16207656938607,0,0.3243176452669043
user_00004,10.9707513243224,1.2835325017621118,1.0,1148.6840308541832,0.1592973734013108,0.0,0.0,,1,0.7548422050964076
user_00005,11.651631574057403,3.2083204579322038,1.0,394.34286712774167,0.4859020003664045,0.0,1.0,68.3440609376801,0,0.3745966444152324
user_00006,52.149622644768264,2.593775145192221,3.0,676.5735612036802,0.3836406592298788,0.0,1.0,,1,0.353972213596642
user_00007,4.770838101120682,1.0,1.0,319.61568310039064,0.29994523771569886,0.0,0.0,48.37902447983192,0,0.6022510316539141
user_00008,6.073978177582987,1.0,0.0,429.4313088078366,0.23462875757105126,1.0,0.0,117.95928454491217,0,0.7221701801836063
user_00009,14.996865184829236,,,279.0723953029281,,1.0,1.0,143.3417433824739,0,0.4714301793103667
user_00010,6.534070337768363,1.0,1.0,1167.26419006799,0.1367152037939334,0.0,0.0,141.22892676246366,0,0.7264147724892517
user_00011,9.568974967750108,1.0,2.0,749.9227110115379,0.1508868941814583,0.0,0.0,,1,0.8138992185851187
user_00012,19.287639697979866,1.6037336386987255,3.0,405.91251713481665,0.38249750142307676,1.0,1.0,,1,0.5320523045683939
user_00013,24.8313209569326,1.0037406629622356,0.0,883.8668563171386,0.4632778858670978,0.0,0.0,,1,0.6041657033348355
user_00014,42.319915066424414,,2.0,522.0472234786041,0.7129231949469236,1.0,0.0,28.529430206997564,0,0.16126804479592993
user_00015,,3.1277667116670576,2.0,294.0003967903131,,0.0,1.0,,1,0.28468586470028384
user_00016,34.00144907550842,6.395697855957767,,251.19761398991173,0.5880526631564335,1.0,1.0,18.86695936836151,0,0.2626311946976817
user_00017,12.566291514985803,1.0,3.0,250.33425070433208,0.5386373652481999,2.0,0.0,74.55867840144947,0,0.3528490187886838
user_00018,36.09993929388291,3.275938627155238,4.0,403.70130889059493,0.1703915589457921,1.0,0.0,310.79897119549673,0,0.558565599631128
user_00019,20.167197924996483,1.147697085464004,1.0,1007.447085209551,0.46912590016536826,1.0,,110.66063898763085,0,0.6085022449636817
user_00020,26.05883846503738,1.0,1.0,514.5358704522054,0.7289581733311267,0.0,0.0,78.79704351106766,0,0.18386479365050404
user_00021,21.89434832268199,1.0,1.0,241.4530117075752,0.6658252182013296,1.0,1.0,23.185161234548467,0,0.20369754514137123
user_00022,20.69975616115694,1.2332637548754952,0.0,497.18204468727566,,1.0,0.0,78.64962979492212,0,0.29643352097807646
user_00023,12.009123031339135,1.598720503936181,2.0,245.71647619875245,0.429409710496337,0.0,0.0,210.7465450960017,0,0.2407909095128666
user_00024,6.590087948379085,2.55207751024164,2.0,212.13575514855305,0.6813398405667788,1.0,1.0,,1,0.3745134262821368
user_00025,,1.0,1.0,,0.4601797690227753,0.0,1.0,40.21763682278077,0,0.4311915849431891
user_00026,33.47541204378619,5.275987251421935,0.0,472.1884379279225,0.46700816982325544,0.0,0.0,159.7162813972172,0,0.5212423353023553
user_00027,41.80075587912666,2.397978764989952,3.0,376.2447858883503,0.7405927258397063,0.0,,56.05672721103353,0,0.20199815388596437
user_00028,31.598907145934408,5.014779120597778,2.0,181.2168270376904,0.640536747669576,0.0,1.0,63.2287390177413,0,0.2722748147769217
user_00029,20.81317671276601,,1.0,189.19748470097412,0.28764636738073796,0.0,1.0,62.83978777929338,0,0.5377698790523568
user_00030,21.655690658871105,2.5708125099394024,2.0,560.0094393627835,0.4778343928688711,1.0,0.0,80.51490446054046,0,0.4784729377943097
user_00031,14.132271700893613,3.5140959312783093,2.0,424.1675465625028,0.49519721973878816,0.0,0.0,107.62911380438982,0,0.5738350710847968
user_00032,28.239107449045687,1.0,0.0,845.9499695435997,0.12083571178374862,0.0,0.0,,1,0.7160801584853266
user_00033,14.429949723207978,3.4303380789422158,1.0,283.74263938683833,0.4197987521236736,0.0,1.0,,1,0.34272320970688747
user_00034,12.243158051134953,2.0125973237686705,0.0,925.5792704378606,0.3354010556899595,0.0,0.0,124.72272701922675,0,0.757617752255643
user_00035,18.744314569681375,105.59771734080607,1.0,578.5657308264392,0.39167601551811887,1.0,1.0,61.01460499657154,0,0.46567292739913957
user_00036,18.91815705139365,3.3642682851374417,1.0,484.1026995538696,0.1917854166638636,0.0,,61.96374078793079,0,0.5002665576410269
user_00037,21.472884869996555,1.4668416734544496,4.0,,0.7686559752317991,0.0,0.0,32.28122259850545,0,0.18019890366819874
user_00038,32.79976527981831,,2.0,399.84858072570637,0.8368561819421724,2.0,1.0,,1,0.11903911857246702
user_00039,14.265702232099201,4.304640761442534,3.0,382.0876545068429,0.2019359266541871,1.0,1.0,,1,0.6287423568849433
user_00040,41.93129067548195,2.081556645837928,3.0,,0.644649589873274,1.0,0.0,132.49499805098014,0,0.2752216838869903
user_00041,18.314968915289576,2.5521744297306372,1.0,265.6191251559854,0.7690853560005435,0.0,1.0,,1,0.21258662282819524
user_00042,13.671789509480488,1.6756907694399545,5.0,413.8605449330322,0.5207296946830026,1.0,0.0,77.92635147709541,0,0.4866130418875125
user_00043,569.4501551655335,1.0,2.0,399.3234061192769,0.4253747488892982,0.0,0.0,,1,0.6021137040379481
user_00044,15.360125330374029,1.6987266151865075,2.0,232.77623184019671,0.6160800943814921,0.0,0.0,92.45391832421167,0,0.22054758317605577
user_00045,12.250548294660003,69.718795816262,2.0,395.0759916048537,0.27547628823298564,0.0,1.0,94.6122592709726,0,0.3622067195057182
user_00046,34.35671668565328,,2.0,409.9268136470895,0.45656622879225595,0.0,1.0,95.37725567609634,0,0.36346903443635104
user_00047,6.633340059870504,1.0,1.0,595.1272232742276,0.617768992437644,1.0,0.0,,1,0.5250024172453919
user_00048,24.969717330349166,1.7193012055999704,2.0,,0.07302537097596092,1.0,1.0,,1,0.7298873007945448
user_00049,19.221851614759153,,6.0,260.54474714359424,0.7449704135619385,3.0,1.0,17.918841278181528,0,0.13451374441647526
